Threshold: -0.20 ,Senstivity: 0.85 ,Specificity: 0.52 ,Accuracy: 0.67 ,mcc scores: 0.38 ,roc-auc scores: 0.76 ,cohen scores: 0.35 
Threshold: -0.10 ,Senstivity: 0.81 ,Specificity: 0.73 ,Accuracy: 0.77 ,mcc scores: 0.54 ,roc-auc scores: 0.76 ,cohen scores: 0.53 
Threshold: 0.00 ,Senstivity: 0.59 ,Specificity: 0.73 ,Accuracy: 0.67 ,mcc scores: 0.32 ,roc-auc scores: 0.76 ,cohen scores: 0.32 
Threshold: 0.10 ,Senstivity: 0.52 ,Specificity: 0.79 ,Accuracy: 0.67 ,mcc scores: 0.32 ,roc-auc scores: 0.76 ,cohen scores: 0.31 
Threshold: 0.20 ,Senstivity: 0.41 ,Specificity: 0.85 ,Accuracy: 0.65 ,mcc scores: 0.29 ,roc-auc scores: 0.76 ,cohen scores: 0.27 
Threshold: 0.30 ,Senstivity: 0.26 ,Specificity: 0.94 ,Accuracy: 0.63 ,mcc scores: 0.28 ,roc-auc scores: 0.76 ,cohen scores: 0.21 
Threshold: 0.40 ,Senstivity: 0.19 ,Specificity: 0.97 ,Accuracy: 0.62 ,mcc scores: 0.26 ,roc-auc scores: 0.76 ,cohen scores: 0.17 
Threshold: 0.50 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.21 ,roc-auc scores: 0.76 ,cohen scores: 0.08 
Threshold: 0.60 ,Senstivity: 0.04 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.14 ,roc-auc scores: 0.76 ,cohen scores: 0.04 
Threshold: 0.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: 0.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: 0.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
