Threshold: 0.50 ,Senstivity: 0.81 ,Specificity: 0.97 ,Accuracy: 0.89 ,mcc scores: 0.80 ,roc-auc scores: 0.97 ,cohen scores: 0.79 
Threshold: 0.60 ,Senstivity: 0.80 ,Specificity: 0.98 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.97 ,cohen scores: 0.78 
Threshold: 0.70 ,Senstivity: 0.77 ,Specificity: 0.98 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.97 ,cohen scores: 0.75 
Threshold: 0.80 ,Senstivity: 0.76 ,Specificity: 0.98 ,Accuracy: 0.87 ,mcc scores: 0.76 ,roc-auc scores: 0.97 ,cohen scores: 0.74 
Threshold: 0.90 ,Senstivity: 0.73 ,Specificity: 0.98 ,Accuracy: 0.86 ,mcc scores: 0.74 ,roc-auc scores: 0.97 ,cohen scores: 0.72 
Threshold: 1.00 ,Senstivity: 0.69 ,Specificity: 0.99 ,Accuracy: 0.84 ,mcc scores: 0.72 ,roc-auc scores: 0.97 ,cohen scores: 0.68 
Threshold: 1.10 ,Senstivity: 0.64 ,Specificity: 0.99 ,Accuracy: 0.82 ,mcc scores: 0.68 ,roc-auc scores: 0.97 ,cohen scores: 0.64 
Threshold: 1.20 ,Senstivity: 0.60 ,Specificity: 0.99 ,Accuracy: 0.80 ,mcc scores: 0.64 ,roc-auc scores: 0.97 ,cohen scores: 0.59 
Threshold: 1.30 ,Senstivity: 0.57 ,Specificity: 0.99 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.97 ,cohen scores: 0.57 
Threshold: 1.40 ,Senstivity: 0.53 ,Specificity: 0.99 ,Accuracy: 0.76 ,mcc scores: 0.59 ,roc-auc scores: 0.97 ,cohen scores: 0.52 
Threshold: 1.50 ,Senstivity: 0.48 ,Specificity: 0.99 ,Accuracy: 0.74 ,mcc scores: 0.55 ,roc-auc scores: 0.97 ,cohen scores: 0.47 
Threshold: 1.60 ,Senstivity: 0.44 ,Specificity: 0.99 ,Accuracy: 0.72 ,mcc scores: 0.52 ,roc-auc scores: 0.97 ,cohen scores: 0.43 
Threshold: 1.70 ,Senstivity: 0.39 ,Specificity: 0.99 ,Accuracy: 0.69 ,mcc scores: 0.48 ,roc-auc scores: 0.97 ,cohen scores: 0.38 
Threshold: 1.80 ,Senstivity: 0.34 ,Specificity: 0.99 ,Accuracy: 0.67 ,mcc scores: 0.45 ,roc-auc scores: 0.97 ,cohen scores: 0.34 
Threshold: 1.90 ,Senstivity: 0.31 ,Specificity: 0.99 ,Accuracy: 0.65 ,mcc scores: 0.42 ,roc-auc scores: 0.97 ,cohen scores: 0.30 
Threshold: 2.00 ,Senstivity: 0.25 ,Specificity: 0.99 ,Accuracy: 0.62 ,mcc scores: 0.37 ,roc-auc scores: 0.97 ,cohen scores: 0.24 
Threshold: 2.10 ,Senstivity: 0.22 ,Specificity: 0.99 ,Accuracy: 0.61 ,mcc scores: 0.34 ,roc-auc scores: 0.97 ,cohen scores: 0.21 
Threshold: 2.20 ,Senstivity: 0.12 ,Specificity: 0.99 ,Accuracy: 0.56 ,mcc scores: 0.24 ,roc-auc scores: 0.97 ,cohen scores: 0.12 
Threshold: 2.30 ,Senstivity: 0.09 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.22 ,roc-auc scores: 0.97 ,cohen scores: 0.09 
Threshold: 2.40 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.21 ,roc-auc scores: 0.97 ,cohen scores: 0.08 
Threshold: 2.50 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.18 ,roc-auc scores: 0.97 ,cohen scores: 0.06 
Threshold: 2.60 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.16 ,roc-auc scores: 0.97 ,cohen scores: 0.05 
Threshold: 2.70 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.97 ,cohen scores: 0.05 
Threshold: 2.80 ,Senstivity: 0.04 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.14 ,roc-auc scores: 0.97 ,cohen scores: 0.04 
Threshold: 2.90 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.13 ,roc-auc scores: 0.97 ,cohen scores: 0.03 
