Threshold: 0.50 ,Senstivity: 0.76 ,Specificity: 0.97 ,Accuracy: 0.87 ,mcc scores: 0.75 ,roc-auc scores: 0.96 ,cohen scores: 0.73 
Threshold: 0.60 ,Senstivity: 0.73 ,Specificity: 0.98 ,Accuracy: 0.86 ,mcc scores: 0.74 ,roc-auc scores: 0.96 ,cohen scores: 0.72 
Threshold: 0.70 ,Senstivity: 0.71 ,Specificity: 0.98 ,Accuracy: 0.85 ,mcc scores: 0.72 ,roc-auc scores: 0.96 ,cohen scores: 0.70 
Threshold: 0.80 ,Senstivity: 0.71 ,Specificity: 0.99 ,Accuracy: 0.85 ,mcc scores: 0.73 ,roc-auc scores: 0.96 ,cohen scores: 0.70 
Threshold: 0.90 ,Senstivity: 0.66 ,Specificity: 0.99 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.96 ,cohen scores: 0.65 
Threshold: 1.00 ,Senstivity: 0.59 ,Specificity: 0.99 ,Accuracy: 0.80 ,mcc scores: 0.64 ,roc-auc scores: 0.96 ,cohen scores: 0.59 
Threshold: 1.10 ,Senstivity: 0.48 ,Specificity: 0.99 ,Accuracy: 0.74 ,mcc scores: 0.55 ,roc-auc scores: 0.96 ,cohen scores: 0.48 
Threshold: 1.20 ,Senstivity: 0.36 ,Specificity: 0.99 ,Accuracy: 0.68 ,mcc scores: 0.46 ,roc-auc scores: 0.96 ,cohen scores: 0.36 
Threshold: 1.30 ,Senstivity: 0.33 ,Specificity: 1.00 ,Accuracy: 0.67 ,mcc scores: 0.45 ,roc-auc scores: 0.96 ,cohen scores: 0.34 
Threshold: 1.40 ,Senstivity: 0.27 ,Specificity: 1.00 ,Accuracy: 0.65 ,mcc scores: 0.40 ,roc-auc scores: 0.96 ,cohen scores: 0.28 
Threshold: 1.50 ,Senstivity: 0.22 ,Specificity: 1.00 ,Accuracy: 0.62 ,mcc scores: 0.35 ,roc-auc scores: 0.96 ,cohen scores: 0.22 
Threshold: 1.60 ,Senstivity: 0.18 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.32 ,roc-auc scores: 0.96 ,cohen scores: 0.19 
Threshold: 1.70 ,Senstivity: 0.15 ,Specificity: 1.00 ,Accuracy: 0.59 ,mcc scores: 0.29 ,roc-auc scores: 0.96 ,cohen scores: 0.16 
Threshold: 1.80 ,Senstivity: 0.12 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.25 ,roc-auc scores: 0.96 ,cohen scores: 0.12 
Threshold: 1.90 ,Senstivity: 0.10 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.23 ,roc-auc scores: 0.96 ,cohen scores: 0.10 
Threshold: 2.00 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.19 ,roc-auc scores: 0.96 ,cohen scores: 0.07 
Threshold: 2.10 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.17 ,roc-auc scores: 0.96 ,cohen scores: 0.06 
Threshold: 2.20 ,Senstivity: 0.04 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.15 ,roc-auc scores: 0.96 ,cohen scores: 0.04 
Threshold: 2.30 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.09 ,roc-auc scores: 0.96 ,cohen scores: 0.01 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
