Threshold: 0.50 ,Senstivity: 0.79 ,Specificity: 0.98 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.95 ,cohen scores: 0.77 
Threshold: 0.60 ,Senstivity: 0.76 ,Specificity: 0.98 ,Accuracy: 0.87 ,mcc scores: 0.76 ,roc-auc scores: 0.95 ,cohen scores: 0.74 
Threshold: 0.70 ,Senstivity: 0.73 ,Specificity: 0.99 ,Accuracy: 0.86 ,mcc scores: 0.74 ,roc-auc scores: 0.95 ,cohen scores: 0.72 
Threshold: 0.80 ,Senstivity: 0.67 ,Specificity: 0.99 ,Accuracy: 0.84 ,mcc scores: 0.71 ,roc-auc scores: 0.95 ,cohen scores: 0.67 
Threshold: 0.90 ,Senstivity: 0.66 ,Specificity: 1.00 ,Accuracy: 0.83 ,mcc scores: 0.71 ,roc-auc scores: 0.95 ,cohen scores: 0.66 
Threshold: 1.00 ,Senstivity: 0.61 ,Specificity: 1.00 ,Accuracy: 0.81 ,mcc scores: 0.67 ,roc-auc scores: 0.95 ,cohen scores: 0.62 
Threshold: 1.10 ,Senstivity: 0.48 ,Specificity: 1.00 ,Accuracy: 0.75 ,mcc scores: 0.57 ,roc-auc scores: 0.95 ,cohen scores: 0.49 
Threshold: 1.20 ,Senstivity: 0.46 ,Specificity: 1.00 ,Accuracy: 0.74 ,mcc scores: 0.55 ,roc-auc scores: 0.95 ,cohen scores: 0.47 
Threshold: 1.30 ,Senstivity: 0.41 ,Specificity: 1.00 ,Accuracy: 0.71 ,mcc scores: 0.51 ,roc-auc scores: 0.95 ,cohen scores: 0.41 
Threshold: 1.40 ,Senstivity: 0.34 ,Specificity: 1.00 ,Accuracy: 0.68 ,mcc scores: 0.46 ,roc-auc scores: 0.95 ,cohen scores: 0.35 
Threshold: 1.50 ,Senstivity: 0.29 ,Specificity: 1.00 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.95 ,cohen scores: 0.29 
Threshold: 1.60 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.63 ,mcc scores: 0.38 ,roc-auc scores: 0.95 ,cohen scores: 0.25 
Threshold: 1.70 ,Senstivity: 0.22 ,Specificity: 1.00 ,Accuracy: 0.62 ,mcc scores: 0.35 ,roc-auc scores: 0.95 ,cohen scores: 0.22 
Threshold: 1.80 ,Senstivity: 0.17 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.31 ,roc-auc scores: 0.95 ,cohen scores: 0.18 
Threshold: 1.90 ,Senstivity: 0.16 ,Specificity: 1.00 ,Accuracy: 0.59 ,mcc scores: 0.30 ,roc-auc scores: 0.95 ,cohen scores: 0.16 
Threshold: 2.00 ,Senstivity: 0.13 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.27 ,roc-auc scores: 0.95 ,cohen scores: 0.14 
Threshold: 2.10 ,Senstivity: 0.12 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.25 ,roc-auc scores: 0.95 ,cohen scores: 0.12 
Threshold: 2.20 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.19 ,roc-auc scores: 0.95 ,cohen scores: 0.07 
Threshold: 2.30 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.17 ,roc-auc scores: 0.95 ,cohen scores: 0.06 
Threshold: 2.40 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.95 ,cohen scores: 0.03 
Threshold: 2.50 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.95 ,cohen scores: 0.03 
Threshold: 2.60 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.09 ,roc-auc scores: 0.95 ,cohen scores: 0.01 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
