Threshold: 0.50 ,Senstivity: 0.58 ,Specificity: 0.99 ,Accuracy: 0.79 ,mcc scores: 0.63 ,roc-auc scores: 0.94 ,cohen scores: 0.57 
Threshold: 0.60 ,Senstivity: 0.52 ,Specificity: 0.99 ,Accuracy: 0.76 ,mcc scores: 0.59 ,roc-auc scores: 0.94 ,cohen scores: 0.52 
Threshold: 0.70 ,Senstivity: 0.43 ,Specificity: 0.99 ,Accuracy: 0.72 ,mcc scores: 0.52 ,roc-auc scores: 0.94 ,cohen scores: 0.43 
Threshold: 0.80 ,Senstivity: 0.34 ,Specificity: 1.00 ,Accuracy: 0.68 ,mcc scores: 0.45 ,roc-auc scores: 0.94 ,cohen scores: 0.34 
Threshold: 0.90 ,Senstivity: 0.26 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.39 ,roc-auc scores: 0.94 ,cohen scores: 0.26 
Threshold: 1.00 ,Senstivity: 0.15 ,Specificity: 1.00 ,Accuracy: 0.59 ,mcc scores: 0.29 ,roc-auc scores: 0.94 ,cohen scores: 0.16 
Threshold: 1.10 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.94 ,cohen scores: 0.09 
Threshold: 1.20 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.16 ,roc-auc scores: 0.94 ,cohen scores: 0.05 
Threshold: 1.30 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.14 ,roc-auc scores: 0.94 ,cohen scores: 0.04 
Threshold: 1.40 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.09 ,roc-auc scores: 0.94 ,cohen scores: 0.01 
Threshold: 1.50 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.09 ,roc-auc scores: 0.94 ,cohen scores: 0.01 
Threshold: 1.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 1.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
