Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.89 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.54 ,mcc scores: 0.19 ,roc-auc scores: 0.90 ,cohen scores: 0.07 
Threshold: 0.20 ,Senstivity: 0.97 ,Specificity: 0.21 ,Accuracy: 0.59 ,mcc scores: 0.27 ,roc-auc scores: 0.89 ,cohen scores: 0.18 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.31 ,Accuracy: 0.66 ,mcc scores: 0.43 ,roc-auc scores: 0.86 ,cohen scores: 0.31 
Threshold: 0.30 ,Senstivity: 0.97 ,Specificity: 0.31 ,Accuracy: 0.64 ,mcc scores: 0.37 ,roc-auc scores: 0.92 ,cohen scores: 0.28 
Threshold: 0.35 ,Senstivity: 0.93 ,Specificity: 0.52 ,Accuracy: 0.73 ,mcc scores: 0.50 ,roc-auc scores: 0.89 ,cohen scores: 0.45 
Threshold: 0.40 ,Senstivity: 0.87 ,Specificity: 0.79 ,Accuracy: 0.83 ,mcc scores: 0.66 ,roc-auc scores: 0.89 ,cohen scores: 0.66 
Threshold: 0.45 ,Senstivity: 0.80 ,Specificity: 0.79 ,Accuracy: 0.80 ,mcc scores: 0.59 ,roc-auc scores: 0.87 ,cohen scores: 0.59 
Threshold: 0.50 ,Senstivity: 0.73 ,Specificity: 0.86 ,Accuracy: 0.80 ,mcc scores: 0.60 ,roc-auc scores: 0.90 ,cohen scores: 0.59 
Threshold: 0.55 ,Senstivity: 0.73 ,Specificity: 0.93 ,Accuracy: 0.83 ,mcc scores: 0.68 ,roc-auc scores: 0.91 ,cohen scores: 0.66 
Threshold: 0.60 ,Senstivity: 0.67 ,Specificity: 0.90 ,Accuracy: 0.78 ,mcc scores: 0.58 ,roc-auc scores: 0.92 ,cohen scores: 0.56 
Threshold: 0.65 ,Senstivity: 0.57 ,Specificity: 0.97 ,Accuracy: 0.76 ,mcc scores: 0.58 ,roc-auc scores: 0.91 ,cohen scores: 0.53 
Threshold: 0.70 ,Senstivity: 0.50 ,Specificity: 1.00 ,Accuracy: 0.75 ,mcc scores: 0.57 ,roc-auc scores: 0.92 ,cohen scores: 0.50 
Threshold: 0.75 ,Senstivity: 0.40 ,Specificity: 0.97 ,Accuracy: 0.68 ,mcc scores: 0.44 ,roc-auc scores: 0.90 ,cohen scores: 0.36 
Threshold: 0.80 ,Senstivity: 0.20 ,Specificity: 1.00 ,Accuracy: 0.59 ,mcc scores: 0.33 ,roc-auc scores: 0.93 ,cohen scores: 0.20 
Threshold: 0.85 ,Senstivity: 0.13 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.27 ,roc-auc scores: 0.89 ,cohen scores: 0.13 
Threshold: 0.90 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.18 ,roc-auc scores: 0.89 ,cohen scores: 0.07 
Threshold: 0.95 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.13 ,roc-auc scores: 0.91 ,cohen scores: 0.03 
