extra_trees_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.10,0.77,0.59,0.68,0.37,0.76,0.36
0.15,0.77,0.62,0.69,0.40,0.79,0.39
0.20,0.74,0.68,0.71,0.42,0.75,0.42
0.25,0.80,0.59,0.69,0.40,0.74,0.39
0.30,0.83,0.68,0.75,0.51,0.75,0.50
0.35,0.80,0.59,0.69,0.40,0.76,0.39
0.40,0.83,0.65,0.74,0.48,0.78,0.47
0.45,0.83,0.62,0.72,0.46,0.77,0.45
0.50,0.77,0.65,0.71,0.42,0.74,0.42
0.55,0.77,0.68,0.72,0.45,0.74,0.45
0.60,0.77,0.57,0.67,0.35,0.74,0.34
0.65,0.80,0.70,0.75,0.50,0.80,0.50
0.70,0.80,0.70,0.75,0.50,0.77,0.50
0.75,0.77,0.68,0.72,0.45,0.77,0.45
0.80,0.77,0.65,0.71,0.42,0.76,0.42
0.85,0.77,0.68,0.72,0.45,0.77,0.45
0.90,0.86,0.65,0.75,0.52,0.78,0.50
0.95,0.80,0.65,0.72,0.45,0.77,0.45

rf_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.52,0.00,0.90,0.00
0.05,1.00,0.00,0.52,0.00,0.90,0.00
0.10,1.00,0.00,0.52,0.00,0.90,0.00
0.15,1.00,0.01,0.53,0.06,0.90,0.01
0.20,0.99,0.06,0.55,0.15,0.90,0.06
0.25,0.98,0.10,0.56,0.18,0.90,0.09
0.30,0.97,0.27,0.64,0.35,0.90,0.26
0.35,0.92,0.45,0.70,0.42,0.90,0.38
0.40,0.89,0.66,0.78,0.57,0.90,0.56
0.45,0.83,0.77,0.80,0.61,0.90,0.61
0.50,0.80,0.88,0.84,0.68,0.90,0.67
0.55,0.74,0.95,0.84,0.69,0.90,0.68
0.60,0.64,0.97,0.80,0.63,0.90,0.60
0.65,0.57,0.98,0.77,0.59,0.90,0.54
0.70,0.49,0.99,0.73,0.55,0.90,0.48
0.75,0.41,0.99,0.69,0.49,0.90,0.39
0.80,0.34,1.00,0.65,0.44,0.90,0.33
0.85,0.26,1.00,0.61,0.38,0.90,0.25
0.90,0.19,1.00,0.58,0.32,0.90,0.19
0.95,0.09,1.00,0.52,0.21,0.90,0.09

rf_kfold_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.49,0.00,0.84,0.00
0.05,1.00,0.00,0.49,0.00,0.85,0.00
0.10,1.00,0.00,0.49,0.00,0.84,0.00
0.15,1.00,0.00,0.49,0.00,0.84,0.00
0.20,1.00,0.03,0.50,0.12,0.82,0.03
0.25,1.00,0.08,0.53,0.20,0.86,0.08
0.30,1.00,0.14,0.56,0.27,0.86,0.13
0.35,1.00,0.19,0.58,0.32,0.86,0.18
0.40,0.97,0.35,0.65,0.41,0.83,0.32
0.45,0.89,0.49,0.68,0.40,0.84,0.37
0.50,0.83,0.59,0.71,0.43,0.84,0.42
0.55,0.77,0.62,0.69,0.40,0.84,0.39
0.60,0.74,0.70,0.72,0.45,0.84,0.44
0.65,0.66,0.86,0.76,0.54,0.82,0.52
0.70,0.54,0.92,0.74,0.50,0.77,0.47
0.75,0.49,0.95,0.72,0.49,0.85,0.44
0.80,0.37,1.00,0.69,0.48,0.85,0.38
0.85,0.31,0.97,0.65,0.39,0.84,0.29
0.90,0.14,1.00,0.58,0.28,0.84,0.15
0.95,0.06,1.00,0.54,0.17,0.78,0.06

ridge_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.52,0.00,0.90,0.00
-2.90,1.00,0.00,0.52,0.00,0.90,0.00
-2.80,1.00,0.00,0.52,0.00,0.90,0.00
-2.70,1.00,0.00,0.52,0.00,0.90,0.00
-2.60,1.00,0.00,0.52,0.00,0.90,0.00
-2.50,1.00,0.00,0.52,0.00,0.90,0.00
-2.40,1.00,0.00,0.52,0.00,0.90,0.00
-2.30,1.00,0.00,0.52,0.00,0.90,0.00
-2.20,1.00,0.00,0.52,0.00,0.90,0.00
-2.10,1.00,0.00,0.52,0.00,0.90,0.00
-2.00,1.00,0.00,0.52,0.00,0.90,0.00
-1.90,1.00,0.00,0.52,0.00,0.90,0.00
-1.80,1.00,0.00,0.52,0.00,0.90,0.00
-1.70,1.00,0.00,0.52,0.00,0.90,0.00
-1.60,1.00,0.00,0.52,0.00,0.90,0.00
-1.50,1.00,0.01,0.53,0.06,0.90,0.01
-1.40,1.00,0.01,0.53,0.06,0.90,0.01
-1.30,1.00,0.01,0.53,0.06,0.90,0.01
-1.20,1.00,0.01,0.53,0.08,0.90,0.01
-1.10,1.00,0.01,0.53,0.08,0.90,0.01
-1.00,1.00,0.03,0.54,0.14,0.90,0.04
-0.90,0.99,0.08,0.56,0.18,0.90,0.07
-0.80,0.99,0.11,0.57,0.23,0.90,0.11
-0.70,0.98,0.17,0.60,0.28,0.90,0.16
-0.60,0.98,0.26,0.64,0.35,0.90,0.25
-0.50,0.96,0.33,0.66,0.39,0.90,0.30
-0.40,0.93,0.46,0.70,0.44,0.90,0.39
-0.30,0.90,0.62,0.77,0.54,0.90,0.52
-0.20,0.87,0.70,0.79,0.58,0.90,0.58
-0.10,0.82,0.82,0.82,0.64,0.90,0.64
0.00,0.79,0.85,0.82,0.65,0.90,0.65
0.10,0.75,0.91,0.83,0.66,0.90,0.65
0.20,0.69,0.93,0.81,0.64,0.90,0.62
0.30,0.61,0.98,0.78,0.62,0.90,0.57
0.40,0.54,0.99,0.75,0.58,0.90,0.51
0.50,0.44,0.99,0.70,0.50,0.90,0.41
0.60,0.38,1.00,0.67,0.47,0.90,0.37
0.70,0.29,1.00,0.63,0.40,0.90,0.28
0.80,0.23,1.00,0.59,0.35,0.90,0.22
0.90,0.16,1.00,0.56,0.29,0.90,0.16
1.00,0.05,1.00,0.50,0.16,0.90,0.05
1.10,0.02,1.00,0.49,0.10,0.90,0.02
1.20,0.01,1.00,0.48,0.05,0.90,0.01
1.30,0.00,1.00,0.48,0.00,0.90,0.00
1.40,0.00,1.00,0.48,0.00,0.90,0.00
1.50,0.00,1.00,0.48,0.00,0.90,0.00
1.60,0.00,1.00,0.48,0.00,0.90,0.00
1.70,0.00,1.00,0.48,0.00,0.90,0.00
1.80,0.00,1.00,0.48,0.00,0.90,0.00
1.90,0.00,1.00,0.48,0.00,0.90,0.00
2.00,0.00,1.00,0.48,0.00,0.90,0.00
2.10,0.00,1.00,0.48,0.00,0.90,0.00
2.20,0.00,1.00,0.48,0.00,0.90,0.00
2.30,0.00,1.00,0.48,0.00,0.90,0.00
2.40,0.00,1.00,0.48,0.00,0.90,0.00
2.50,0.00,1.00,0.48,0.00,0.90,0.00
2.60,0.00,1.00,0.48,0.00,0.90,0.00
2.70,0.00,1.00,0.48,0.00,0.90,0.00
2.80,0.00,1.00,0.48,0.00,0.90,0.00
2.90,0.00,1.00,0.48,0.00,0.90,0.00

ridge_kfold_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.49,0.00,0.82,0.00
-2.90,1.00,0.00,0.49,0.00,0.82,0.00
-2.80,1.00,0.00,0.49,0.00,0.82,0.00
-2.70,1.00,0.00,0.49,0.00,0.82,0.00
-2.60,1.00,0.00,0.49,0.00,0.82,0.00
-2.50,1.00,0.00,0.49,0.00,0.82,0.00
-2.40,1.00,0.00,0.49,0.00,0.82,0.00
-2.30,1.00,0.00,0.49,0.00,0.82,0.00
-2.20,1.00,0.00,0.49,0.00,0.82,0.00
-2.10,1.00,0.00,0.49,0.00,0.82,0.00
-2.00,1.00,0.00,0.49,0.00,0.82,0.00
-1.90,1.00,0.00,0.49,0.00,0.82,0.00
-1.80,1.00,0.00,0.49,0.00,0.82,0.00
-1.70,1.00,0.00,0.49,0.00,0.82,0.00
-1.60,1.00,0.00,0.49,0.00,0.82,0.00
-1.50,1.00,0.00,0.49,0.00,0.82,0.00
-1.40,1.00,0.00,0.49,0.00,0.82,0.00
-1.30,1.00,0.00,0.49,0.00,0.82,0.00
-1.20,1.00,0.00,0.49,0.00,0.82,0.00
-1.10,1.00,0.00,0.49,0.00,0.82,0.00
-1.00,1.00,0.00,0.49,0.00,0.82,0.00
-0.90,1.00,0.00,0.49,0.00,0.82,0.00
-0.80,1.00,0.00,0.49,0.00,0.82,0.00
-0.70,1.00,0.00,0.49,0.00,0.82,0.00
-0.60,1.00,0.03,0.50,0.12,0.82,0.03
-0.50,1.00,0.03,0.50,0.12,0.82,0.03
-0.40,1.00,0.11,0.54,0.24,0.82,0.11
-0.30,1.00,0.16,0.57,0.29,0.82,0.16
-0.20,0.97,0.32,0.64,0.38,0.82,0.29
-0.10,0.86,0.54,0.69,0.42,0.82,0.39
0.00,0.71,0.62,0.67,0.34,0.82,0.33
0.10,0.71,0.76,0.74,0.47,0.82,0.47
0.20,0.63,0.92,0.78,0.57,0.82,0.55
0.30,0.51,0.92,0.72,0.48,0.82,0.44
0.40,0.40,0.95,0.68,0.42,0.82,0.35
0.50,0.29,1.00,0.65,0.41,0.82,0.29
0.60,0.20,1.00,0.61,0.34,0.82,0.20
0.70,0.11,1.00,0.57,0.25,0.82,0.12
0.80,0.03,1.00,0.53,0.12,0.82,0.03
0.90,0.00,1.00,0.51,0.00,0.82,0.00
1.00,0.00,1.00,0.51,0.00,0.82,0.00
1.10,0.00,1.00,0.51,0.00,0.82,0.00
1.20,0.00,1.00,0.51,0.00,0.82,0.00
1.30,0.00,1.00,0.51,0.00,0.82,0.00
1.40,0.00,1.00,0.51,0.00,0.82,0.00
1.50,0.00,1.00,0.51,0.00,0.82,0.00
1.60,0.00,1.00,0.51,0.00,0.82,0.00
1.70,0.00,1.00,0.51,0.00,0.82,0.00
1.80,0.00,1.00,0.51,0.00,0.82,0.00
1.90,0.00,1.00,0.51,0.00,0.82,0.00
2.00,0.00,1.00,0.51,0.00,0.82,0.00
2.10,0.00,1.00,0.51,0.00,0.82,0.00
2.20,0.00,1.00,0.51,0.00,0.82,0.00
2.30,0.00,1.00,0.51,0.00,0.82,0.00
2.40,0.00,1.00,0.51,0.00,0.82,0.00
2.50,0.00,1.00,0.51,0.00,0.82,0.00
2.60,0.00,1.00,0.51,0.00,0.82,0.00
2.70,0.00,1.00,0.51,0.00,0.82,0.00
2.80,0.00,1.00,0.51,0.00,0.82,0.00
2.90,0.00,1.00,0.51,0.00,0.82,0.00

svm_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.52,0.00,0.92,0.00
-2.90,1.00,0.00,0.52,0.00,0.92,0.00
-2.80,1.00,0.00,0.52,0.00,0.92,0.00
-2.70,1.00,0.00,0.52,0.00,0.92,0.00
-2.60,1.00,0.00,0.52,0.00,0.92,0.00
-2.50,1.00,0.00,0.52,0.00,0.92,0.00
-2.40,1.00,0.00,0.52,0.00,0.92,0.00
-2.30,1.00,0.00,0.52,0.00,0.92,0.00
-2.20,1.00,0.00,0.52,0.00,0.92,0.00
-2.10,1.00,0.00,0.52,0.00,0.92,0.00
-2.00,1.00,0.01,0.53,0.06,0.92,0.01
-1.90,1.00,0.01,0.53,0.06,0.92,0.01
-1.80,1.00,0.01,0.53,0.06,0.92,0.01
-1.70,1.00,0.01,0.53,0.08,0.92,0.01
-1.60,1.00,0.03,0.54,0.12,0.92,0.03
-1.50,1.00,0.03,0.54,0.14,0.92,0.04
-1.40,1.00,0.05,0.55,0.17,0.92,0.05
-1.30,1.00,0.09,0.57,0.22,0.92,0.09
-1.20,1.00,0.15,0.59,0.29,0.92,0.15
-1.10,0.99,0.19,0.61,0.32,0.92,0.19
-1.00,0.98,0.24,0.63,0.33,0.92,0.23
-0.90,0.98,0.28,0.65,0.37,0.92,0.27
