extra_trees_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.10,1.00,0.00,0.45,0.00,0.77,0.00
0.15,1.00,0.00,0.45,0.00,0.66,0.00
0.20,1.00,0.00,0.45,0.00,0.51,0.00
0.25,1.00,0.00,0.45,0.00,0.62,0.00
0.30,1.00,0.00,0.45,0.00,0.67,0.00
0.35,0.93,0.27,0.57,0.26,0.65,0.18
0.40,0.89,0.21,0.52,0.13,0.67,0.09
0.45,0.67,0.64,0.65,0.30,0.72,0.30
0.50,0.48,0.67,0.58,0.15,0.60,0.15
0.55,0.56,0.76,0.67,0.32,0.71,0.32
0.60,0.00,1.00,0.55,0.00,0.71,0.00
0.65,0.04,1.00,0.57,0.14,0.65,0.04
0.70,0.00,1.00,0.55,0.00,0.52,0.00
0.75,0.00,1.00,0.55,0.00,0.65,0.00
0.80,0.00,1.00,0.55,0.00,0.67,0.00
0.85,0.00,1.00,0.55,0.00,0.64,0.00
0.90,0.00,1.00,0.55,0.00,0.62,0.00
0.95,0.00,1.00,0.55,0.00,0.59,0.00

rf_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.68,0.00
0.05,1.00,0.00,0.47,0.00,0.68,0.00
0.10,1.00,0.00,0.47,0.00,0.68,0.00
0.15,1.00,0.00,0.47,0.00,0.68,0.00
0.20,0.99,0.03,0.49,0.09,0.68,0.02
0.25,0.99,0.06,0.50,0.11,0.68,0.04
0.30,0.96,0.13,0.52,0.16,0.68,0.09
0.35,0.85,0.26,0.54,0.13,0.68,0.11
0.40,0.75,0.42,0.57,0.17,0.68,0.16
0.45,0.62,0.62,0.62,0.23,0.68,0.23
0.50,0.50,0.75,0.63,0.26,0.68,0.25
0.55,0.40,0.87,0.65,0.31,0.68,0.28
0.60,0.32,0.93,0.64,0.32,0.68,0.26
0.65,0.24,0.99,0.64,0.37,0.68,0.25
0.70,0.18,1.00,0.61,0.32,0.68,0.19
0.75,0.08,1.00,0.57,0.21,0.68,0.09
0.80,0.05,1.00,0.55,0.16,0.68,0.05
0.85,0.01,1.00,0.53,0.06,0.68,0.01
0.90,0.00,1.00,0.53,0.00,0.68,0.00
0.95,0.00,1.00,0.53,0.00,0.68,0.00

rf_kfold_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.45,0.00,0.72,0.00
0.05,1.00,0.00,0.45,0.00,0.77,0.00
0.10,1.00,0.00,0.45,0.00,0.69,0.00
0.15,1.00,0.00,0.45,0.00,0.76,0.00
0.20,1.00,0.00,0.45,0.00,0.69,0.00
0.25,1.00,0.00,0.45,0.00,0.85,0.00
0.30,1.00,0.09,0.50,0.21,0.67,0.08
0.35,0.85,0.06,0.42,-0.15,0.72,-0.08
0.40,0.89,0.36,0.60,0.29,0.77,0.24
0.45,0.89,0.52,0.68,0.43,0.80,0.39
0.50,0.59,0.64,0.62,0.23,0.73,0.23
0.55,0.41,0.67,0.55,0.08,0.65,0.08
0.60,0.41,0.91,0.68,0.37,0.77,0.33
0.65,0.33,0.97,0.68,0.40,0.77,0.32
0.70,0.33,1.00,0.70,0.46,0.76,0.35
0.75,0.15,0.97,0.60,0.21,0.82,0.13
0.80,0.19,1.00,0.63,0.33,0.70,0.20
0.85,0.00,1.00,0.55,0.00,0.71,0.00
0.90,0.00,1.00,0.55,0.00,0.75,0.00
0.95,0.00,1.00,0.55,0.00,0.76,0.00

ridge_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.47,0.00,0.69,0.00
-2.90,1.00,0.00,0.47,0.00,0.69,0.00
-2.80,1.00,0.00,0.47,0.00,0.69,0.00
-2.70,1.00,0.00,0.47,0.00,0.69,0.00
-2.60,1.00,0.00,0.47,0.00,0.69,0.00
-2.50,1.00,0.00,0.47,0.00,0.69,0.00
-2.40,1.00,0.00,0.47,0.00,0.69,0.00
-2.30,1.00,0.00,0.47,0.00,0.69,0.00
-2.20,1.00,0.00,0.47,0.00,0.69,0.00
-2.10,1.00,0.00,0.47,0.00,0.69,0.00
-2.00,1.00,0.00,0.47,0.00,0.69,0.00
-1.90,1.00,0.00,0.47,0.00,0.69,0.00
-1.80,1.00,0.00,0.47,0.00,0.69,0.00
-1.70,1.00,0.00,0.47,0.00,0.69,0.00
-1.60,1.00,0.00,0.47,0.00,0.69,0.00
-1.50,1.00,0.00,0.47,0.00,0.69,0.00
-1.40,1.00,0.00,0.47,0.00,0.69,0.00
-1.30,1.00,0.00,0.47,0.00,0.69,0.00
-1.20,1.00,0.00,0.47,0.00,0.69,0.00
-1.10,1.00,0.00,0.47,0.00,0.69,0.00
-1.00,1.00,0.00,0.47,0.00,0.69,0.00
-0.90,0.99,0.00,0.47,-0.06,0.69,-0.01
-0.80,0.99,0.01,0.48,0.03,0.69,0.01
-0.70,0.97,0.06,0.49,0.06,0.69,0.03
-0.60,0.94,0.13,0.51,0.11,0.69,0.06
-0.50,0.90,0.18,0.52,0.12,0.69,0.08
-0.40,0.81,0.28,0.53,0.10,0.69,0.09
-0.30,0.77,0.40,0.58,0.18,0.69,0.17
-0.20,0.72,0.52,0.62,0.25,0.69,0.24
-0.10,0.62,0.66,0.64,0.28,0.69,0.28
0.00,0.51,0.76,0.64,0.28,0.69,0.27
0.10,0.45,0.82,0.65,0.30,0.69,0.28
0.20,0.36,0.92,0.66,0.34,0.69,0.29
0.30,0.33,0.97,0.67,0.39,0.69,0.31
0.40,0.27,0.99,0.65,0.39,0.69,0.28
0.50,0.23,1.00,0.64,0.37,0.69,0.24
0.60,0.14,1.00,0.59,0.28,0.69,0.15
0.70,0.07,1.00,0.56,0.20,0.69,0.07
0.80,0.03,1.00,0.54,0.12,0.69,0.03
0.90,0.01,1.00,0.53,0.06,0.69,0.01
1.00,0.01,1.00,0.53,0.06,0.69,0.01
1.10,0.01,1.00,0.53,0.06,0.69,0.01
1.20,0.00,1.00,0.53,0.00,0.69,0.00
1.30,0.00,1.00,0.53,0.00,0.69,0.00
1.40,0.00,1.00,0.53,0.00,0.69,0.00
1.50,0.00,1.00,0.53,0.00,0.69,0.00
1.60,0.00,1.00,0.53,0.00,0.69,0.00
1.70,0.00,1.00,0.53,0.00,0.69,0.00
1.80,0.00,1.00,0.53,0.00,0.69,0.00
1.90,0.00,1.00,0.53,0.00,0.69,0.00
2.00,0.00,1.00,0.53,0.00,0.69,0.00
2.10,0.00,1.00,0.53,0.00,0.69,0.00
2.20,0.00,1.00,0.53,0.00,0.69,0.00
2.30,0.00,1.00,0.53,0.00,0.69,0.00
2.40,0.00,1.00,0.53,0.00,0.69,0.00
2.50,0.00,1.00,0.53,0.00,0.69,0.00
2.60,0.00,1.00,0.53,0.00,0.69,0.00
2.70,0.00,1.00,0.53,0.00,0.69,0.00
2.80,0.00,1.00,0.53,0.00,0.69,0.00
2.90,0.00,1.00,0.53,0.00,0.69,0.00

ridge_kfold_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.45,0.00,0.74,0.00
-2.90,1.00,0.00,0.45,0.00,0.74,0.00
-2.80,1.00,0.00,0.45,0.00,0.74,0.00
-2.70,1.00,0.00,0.45,0.00,0.74,0.00
-2.60,1.00,0.00,0.45,0.00,0.74,0.00
-2.50,1.00,0.00,0.45,0.00,0.74,0.00
-2.40,1.00,0.00,0.45,0.00,0.74,0.00
-2.30,1.00,0.00,0.45,0.00,0.74,0.00
-2.20,1.00,0.00,0.45,0.00,0.74,0.00
-2.10,1.00,0.00,0.45,0.00,0.74,0.00
-2.00,1.00,0.00,0.45,0.00,0.74,0.00
-1.90,1.00,0.00,0.45,0.00,0.74,0.00
-1.80,1.00,0.00,0.45,0.00,0.74,0.00
-1.70,1.00,0.00,0.45,0.00,0.74,0.00
-1.60,1.00,0.00,0.45,0.00,0.74,0.00
-1.50,1.00,0.00,0.45,0.00,0.74,0.00
-1.40,1.00,0.00,0.45,0.00,0.74,0.00
-1.30,1.00,0.00,0.45,0.00,0.74,0.00
-1.20,1.00,0.00,0.45,0.00,0.74,0.00
-1.10,1.00,0.00,0.45,0.00,0.74,0.00
-1.00,1.00,0.00,0.45,0.00,0.74,0.00
-0.90,1.00,0.00,0.45,0.00,0.74,0.00
-0.80,1.00,0.00,0.45,0.00,0.74,0.00
-0.70,1.00,0.00,0.45,0.00,0.74,0.00
-0.60,1.00,0.00,0.45,0.00,0.74,0.00
-0.50,1.00,0.03,0.47,0.12,0.74,0.03
-0.40,1.00,0.03,0.47,0.12,0.74,0.03
-0.30,0.96,0.27,0.58,0.31,0.74,0.22
-0.20,0.85,0.36,0.58,0.24,0.74,0.20
-0.10,0.85,0.48,0.65,0.36,0.74,0.32
0.00,0.56,0.67,0.62,0.22,0.74,0.22
0.10,0.44,0.79,0.63,0.25,0.74,0.24
0.20,0.41,0.94,0.70,0.42,0.74,0.36
0.30,0.33,0.97,0.68,0.40,0.74,0.32
0.40,0.19,1.00,0.63,0.33,0.74,0.20
0.50,0.11,1.00,0.60,0.25,0.74,0.12
0.60,0.04,1.00,0.57,0.14,0.74,0.04
0.70,0.00,1.00,0.55,0.00,0.74,0.00
0.80,0.00,1.00,0.55,0.00,0.74,0.00
0.90,0.00,1.00,0.55,0.00,0.74,0.00
1.00,0.00,1.00,0.55,0.00,0.74,0.00
1.10,0.00,1.00,0.55,0.00,0.74,0.00
1.20,0.00,1.00,0.55,0.00,0.74,0.00
1.30,0.00,1.00,0.55,0.00,0.74,0.00
1.40,0.00,1.00,0.55,0.00,0.74,0.00
1.50,0.00,1.00,0.55,0.00,0.74,0.00
1.60,0.00,1.00,0.55,0.00,0.74,0.00
1.70,0.00,1.00,0.55,0.00,0.74,0.00
1.80,0.00,1.00,0.55,0.00,0.74,0.00
1.90,0.00,1.00,0.55,0.00,0.74,0.00
2.00,0.00,1.00,0.55,0.00,0.74,0.00
2.10,0.00,1.00,0.55,0.00,0.74,0.00
2.20,0.00,1.00,0.55,0.00,0.74,0.00
2.30,0.00,1.00,0.55,0.00,0.74,0.00
2.40,0.00,1.00,0.55,0.00,0.74,0.00
2.50,0.00,1.00,0.55,0.00,0.74,0.00
2.60,0.00,1.00,0.55,0.00,0.74,0.00
2.70,0.00,1.00,0.55,0.00,0.74,0.00
2.80,0.00,1.00,0.55,0.00,0.74,0.00
2.90,0.00,1.00,0.55,0.00,0.74,0.00

svm_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.47,0.00,0.69,0.00
-2.90,1.00,0.00,0.47,0.00,0.69,0.00
-2.80,1.00,0.00,0.47,0.00,0.69,0.00
-2.70,1.00,0.00,0.47,0.00,0.69,0.00
-2.60,1.00,0.00,0.47,0.00,0.69,0.00
-2.50,1.00,0.00,0.47,0.00,0.69,0.00
-2.40,1.00,0.00,0.47,0.00,0.69,0.00
-2.30,1.00,0.00,0.47,0.00,0.69,0.00
-2.20,1.00,0.00,0.47,0.00,0.69,0.00
-2.10,1.00,0.00,0.47,0.00,0.69,0.00
-2.00,1.00,0.00,0.47,0.00,0.69,0.00
-1.90,1.00,0.00,0.47,0.00,0.69,0.00
-1.80,1.00,0.00,0.47,0.00,0.69,0.00
-1.70,1.00,0.00,0.47,0.00,0.69,0.00
-1.60,1.00,0.00,0.47,0.00,0.69,0.00
-1.50,1.00,0.00,0.47,0.00,0.69,0.00
-1.40,1.00,0.00,0.47,0.00,0.69,0.00
-1.30,1.00,0.00,0.47,0.00,0.69,0.00
-1.20,1.00,0.01,0.48,0.05,0.69,0.01
-1.10,1.00,0.01,0.48,0.08,0.69,0.01
-1.00,0.93,0.08,0.48,0.01,0.69,0.01
-0.90,0.85,0.16,0.49,0.01,0.69,0.01
-0.80,0.80,0.31,0.55,0.14,0.69,0.12
-0.70,0.76,0.43,0.58,0.19,0.69,0.18
-0.60,0.71,0.58,0.64,0.29,0.69,0.29
-0.50,0.63,0.69,0.66,0.32,0.69,0.32
-0.40,0.57,0.76,0.67,0.33,0.69,0.33
-0.30,0.52,0.79,0.67,0.33,0.69,0.32
-0.20,0.49,0.84,0.68,0.36,0.69,0.34
-0.10,0.44,0.87,0.67,0.35,0.69,0.32
0.00,0.41,0.90,0.67,0.36,0.69,0.32
0.10,0.38,0.93,0.67,0.38,0.69,0.32
0.20,0.34,0.94,0.66,0.36,0.69,0.29
0.30,0.34,0.96,0.67,0.39,0.69,0.31
0.40,0.34,0.97,0.67,0.40,0.69,0.31
0.50,0.31,0.99,0.67,0.41,0.69,0.31
0.60,0.28,0.99,0.66,0.40,0.69,0.28
0.70,0.24,0.99,0.64,0.36,0.69,0.24
0.80,0.20,0.99,0.62,0.33,0.69,0.20
0.90,0.17,0.99,0.61,0.30,0.69,0.18
1.00,0.07,1.00,0.56,0.20,0.69,0.07
1.10,0.03,1.00,0.54,0.14,0.69,0.04
1.20,0.01,1.00,0.53,0.09,0.69,0.01
1.30,0.00,1.00,0.53,0.00,0.69,0.00
1.40,0.00,1.00,0.53,0.00,0.69,0.00
1.50,0.00,1.00,0.53,0.00,0.69,0.00
1.60,0.00,1.00,0.53,0.00,0.69,0.00
1.70,0.00,1.00,0.53,0.00,0.69,0.00
1.80,0.00,1.00,0.53,0.00,0.69,0.00
1.90,0.00,1.00,0.53,0.00,0.69,0.00
2.00,0.00,1.00,0.53,0.00,0.69,0.00
2.10,0.00,1.00,0.53,0.00,0.69,0.00
2.20,0.00,1.00,0.53,0.00,0.69,0.00
2.30,0.00,1.00,0.53,0.00,0.69,0.00
2.40,0.00,1.00,0.53,0.00,0.69,0.00
2.50,0.00,1.00,0.53,0.00,0.69,0.00
2.60,0.00,1.00,0.53,0.00,0.69,0.00
2.70,0.00,1.00,0.53,0.00,0.69,0.00
2.80,0.00,1.00,0.53,0.00,0.69,0.00
2.90,0.00,1.00,0.53,0.00,0.69,0.00

svm_kfold_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.45,0.00,0.78,0.00
-2.90,1.00,0.00,0.45,0.00,0.78,0.00
-2.80,1.00,0.00,0.45,0.00,0.78,0.00
-2.70,1.00,0.00,0.45,0.00,0.78,0.00
-2.60,1.00,0.00,0.45,0.00,0.78,0.00
-2.50,1.00,0.00,0.45,0.00,0.78,0.00
-2.40,1.00,0.00,0.45,0.00,0.78,0.00
-2.30,1.00,0.00,0.45,0.00,0.78,0.00
-2.20,1.00,0.00,0.45,0.00,0.78,0.00
-2.10,1.00,0.00,0.45,0.00,0.78,0.00
-2.00,1.00,0.00,0.45,0.00,0.78,0.00
-1.90,1.00,0.00,0.45,0.00,0.78,0.00
-1.80,1.00,0.00,0.45,0.00,0.78,0.00
-1.70,1.00,0.00,0.45,0.00,0.78,0.00
-1.60,1.00,0.00,0.45,0.00,0.78,0.00
-1.50,1.00,0.00,0.45,0.00,0.78,0.00
-1.40,1.00,0.00,0.45,0.00,0.78,0.00
-1.30,1.00,0.00,0.45,0.00,0.78,0.00
-1.20,1.00,0.00,0.45,0.00,0.78,0.00
-1.10,1.00,0.00,0.45,0.00,0.78,0.00
-1.00,1.00,0.00,0.45,0.00,0.78,0.00
-0.90,1.00,0.00,0.45,0.00,0.78,0.00
-0.80,1.00,0.15,0.53,0.27,0.78,0.14
-0.70,1.00,0.18,0.55,0.30,0.78,0.17
-0.60,0.93,0.27,0.57,0.26,0.78,0.18
-0.50,0.81,0.48,0.63,0.31,0.78,0.29
-0.40,0.63,0.79,0.72,0.42,0.78,0.42
-0.30,0.52,0.91,0.73,0.47,0.78,0.44
-0.20,0.41,0.94,0.70,0.42,0.78,0.36
