extra_trees_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.15,0.92,0.70,0.81,0.63,0.90,0.61
0.20,0.95,0.75,0.84,0.71,0.93,0.69
0.25,0.81,0.72,0.77,0.54,0.88,0.53
0.30,0.92,0.05,0.47,-0.06,0.60,-0.03
0.35,0.86,0.85,0.86,0.71,0.93,0.71
0.40,0.97,0.80,0.88,0.78,0.93,0.77
0.45,0.92,0.78,0.84,0.70,0.91,0.69
0.50,0.73,0.75,0.74,0.48,0.84,0.48
0.55,0.81,0.88,0.84,0.69,0.92,0.69
0.60,0.76,0.88,0.82,0.64,0.91,0.63
0.65,0.95,0.93,0.94,0.87,0.97,0.87
0.70,0.59,0.93,0.77,0.55,0.87,0.53
0.75,0.68,0.93,0.81,0.62,0.90,0.61
0.80,0.00,1.00,0.52,0.00,0.78,0.00
0.85,0.73,0.97,0.86,0.73,0.94,0.71
0.90,0.54,1.00,0.78,0.62,0.92,0.55
0.95,0.38,1.00,0.70,0.49,0.95,0.39

rf_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.96,0.00
0.05,0.99,0.35,0.67,0.44,0.96,0.34
0.10,0.97,0.49,0.73,0.53,0.96,0.47
0.15,0.96,0.63,0.80,0.63,0.96,0.60
0.20,0.96,0.70,0.83,0.68,0.96,0.66
0.25,0.96,0.74,0.85,0.71,0.96,0.70
0.30,0.95,0.79,0.87,0.75,0.96,0.74
0.35,0.94,0.85,0.89,0.79,0.96,0.78
0.40,0.92,0.87,0.89,0.79,0.96,0.79
0.45,0.91,0.88,0.89,0.79,0.96,0.79
0.50,0.90,0.91,0.91,0.81,0.96,0.81
0.55,0.88,0.93,0.90,0.81,0.96,0.81
0.60,0.83,0.94,0.89,0.78,0.96,0.77
0.65,0.81,0.96,0.88,0.78,0.96,0.77
0.70,0.79,0.97,0.88,0.77,0.96,0.76
0.75,0.76,0.99,0.88,0.77,0.96,0.75
0.80,0.72,0.99,0.86,0.74,0.96,0.71
0.85,0.64,0.99,0.82,0.68,0.96,0.64
0.90,0.60,0.99,0.80,0.65,0.96,0.60
0.95,0.51,0.99,0.75,0.58,0.96,0.50

rf_kfold_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.93,0.00
0.05,1.00,0.17,0.57,0.30,0.95,0.17
0.10,1.00,0.15,0.56,0.28,0.94,0.15
0.15,0.97,0.45,0.70,0.49,0.94,0.41
0.20,0.97,0.62,0.79,0.63,0.95,0.59
0.25,0.95,0.68,0.81,0.64,0.91,0.61
0.30,0.92,0.90,0.91,0.82,0.94,0.82
0.35,0.92,0.88,0.90,0.79,0.94,0.79
0.40,0.84,0.93,0.88,0.77,0.95,0.77
0.45,0.76,0.90,0.83,0.67,0.94,0.66
0.50,0.76,0.93,0.84,0.69,0.92,0.69
0.55,0.76,0.93,0.84,0.69,0.94,0.69
0.60,0.59,0.97,0.79,0.62,0.94,0.58
0.65,0.62,0.95,0.79,0.61,0.94,0.58
0.70,0.54,1.00,0.78,0.62,0.92,0.55
0.75,0.59,1.00,0.81,0.66,0.95,0.60
0.80,0.54,1.00,0.78,0.62,0.94,0.55
0.85,0.46,1.00,0.74,0.55,0.94,0.47
0.90,0.46,1.00,0.74,0.55,0.95,0.47
0.95,0.32,1.00,0.68,0.45,0.95,0.33

ridge_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.50,0.00,0.94,0.00
-2.90,1.00,0.00,0.50,0.00,0.94,0.00
-2.80,1.00,0.00,0.50,0.00,0.94,0.00
-2.70,1.00,0.00,0.50,0.00,0.94,0.00
