extra_trees_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.10,1.00,0.28,0.62,0.39,0.84,0.27
0.15,0.89,0.55,0.71,0.47,0.87,0.44
0.20,0.86,0.57,0.71,0.46,0.82,0.43
0.25,0.86,0.60,0.73,0.48,0.84,0.46
0.30,1.00,0.40,0.69,0.49,0.84,0.39
0.35,0.84,0.72,0.78,0.56,0.86,0.56
0.40,0.76,0.75,0.75,0.51,0.79,0.51
0.45,0.86,0.78,0.82,0.64,0.87,0.64
0.50,0.76,0.88,0.82,0.64,0.90,0.63
0.55,0.62,0.85,0.74,0.49,0.81,0.48
0.60,0.70,0.88,0.79,0.59,0.87,0.58
0.65,0.59,0.93,0.77,0.55,0.86,0.53
0.70,0.59,0.90,0.75,0.52,0.86,0.50
0.75,0.62,0.90,0.77,0.55,0.85,0.53
0.80,0.35,0.90,0.64,0.30,0.83,0.26
0.85,0.30,0.95,0.64,0.33,0.82,0.25
0.90,0.14,1.00,0.58,0.27,0.85,0.14
0.95,0.27,0.97,0.64,0.35,0.88,0.25

rf_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.93,0.00
0.05,1.00,0.00,0.50,0.00,0.93,0.00
0.10,1.00,0.01,0.50,0.05,0.93,0.01
0.15,0.99,0.05,0.52,0.14,0.93,0.05
0.20,0.99,0.15,0.57,0.26,0.93,0.14
0.25,0.98,0.26,0.62,0.35,0.93,0.24
0.30,0.97,0.42,0.70,0.47,0.93,0.39
0.35,0.97,0.51,0.74,0.53,0.93,0.47
0.40,0.94,0.64,0.79,0.62,0.93,0.59
0.45,0.90,0.79,0.84,0.69,0.93,0.69
0.50,0.84,0.88,0.86,0.72,0.93,0.72
0.55,0.77,0.93,0.85,0.71,0.93,0.70
0.60,0.70,0.96,0.83,0.69,0.93,0.66
0.65,0.65,0.99,0.82,0.69,0.93,0.65
0.70,0.54,0.99,0.77,0.60,0.93,0.54
0.75,0.44,0.99,0.72,0.52,0.93,0.44
0.80,0.27,1.00,0.64,0.40,0.93,0.27
0.85,0.16,1.00,0.58,0.29,0.93,0.16
0.90,0.05,1.00,0.53,0.16,0.93,0.05
0.95,0.03,1.00,0.52,0.13,0.93,0.03

rf_kfold_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.95,0.00
0.05,1.00,0.00,0.48,0.00,0.90,0.00
0.10,1.00,0.00,0.48,0.00,0.90,0.00
0.15,1.00,0.07,0.52,0.19,0.90,0.07
0.20,1.00,0.10,0.53,0.23,0.85,0.10
0.25,1.00,0.15,0.56,0.28,0.91,0.15
0.30,1.00,0.40,0.69,0.49,0.92,0.39
0.35,0.97,0.57,0.77,0.59,0.90,0.54
0.40,0.92,0.82,0.87,0.74,0.93,0.74
0.45,0.89,0.78,0.83,0.67,0.92,0.66
0.50,0.73,0.85,0.79,0.59,0.88,0.58
0.55,0.73,0.90,0.82,0.64,0.93,0.63
0.60,0.59,0.93,0.77,0.55,0.89,0.53
0.65,0.43,0.95,0.70,0.45,0.89,0.39
0.70,0.35,0.97,0.68,0.42,0.88,0.33
0.75,0.30,0.97,0.65,0.38,0.90,0.28
0.80,0.14,1.00,0.58,0.27,0.93,0.14
0.85,0.11,1.00,0.57,0.24,0.91,0.11
0.90,0.08,1.00,0.56,0.21,0.88,0.08
0.95,0.05,1.00,0.55,0.17,0.91,0.06

ridge_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.50,0.00,0.92,0.00
-2.90,1.00,0.00,0.50,0.00,0.92,0.00
-2.80,1.00,0.00,0.50,0.00,0.92,0.00
-2.70,1.00,0.01,0.50,0.05,0.92,0.01
-2.60,1.00,0.01,0.50,0.05,0.92,0.01
-2.50,1.00,0.01,0.50,0.05,0.92,0.01
