Accuracy: 0.51 ,Specificity: 0.00 ,Senstivity: 1.00 ,roc-auc scores: 0.70 ,mcc scores: 0.00 ,cohen scores: 0.00 Threshold: 0.00 
Accuracy: 0.51 ,Specificity: 0.00 ,Senstivity: 1.00 ,roc-auc scores: 0.70 ,mcc scores: 0.00 ,cohen scores: 0.00 Threshold: 0.10 
Accuracy: 0.52 ,Specificity: 0.03 ,Senstivity: 1.00 ,roc-auc scores: 0.70 ,mcc scores: 0.13 ,cohen scores: 0.03 Threshold: 0.20 
Accuracy: 0.56 ,Specificity: 0.14 ,Senstivity: 0.97 ,roc-auc scores: 0.70 ,mcc scores: 0.20 ,cohen scores: 0.11 Threshold: 0.30 
Accuracy: 0.59 ,Specificity: 0.32 ,Senstivity: 0.86 ,roc-auc scores: 0.70 ,mcc scores: 0.21 ,cohen scores: 0.18 Threshold: 0.40 
Accuracy: 0.65 ,Specificity: 0.68 ,Senstivity: 0.61 ,roc-auc scores: 0.70 ,mcc scores: 0.29 ,cohen scores: 0.29 Threshold: 0.50 
Accuracy: 0.62 ,Specificity: 0.90 ,Senstivity: 0.35 ,roc-auc scores: 0.70 ,mcc scores: 0.30 ,cohen scores: 0.25 Threshold: 0.60 
Accuracy: 0.60 ,Specificity: 0.98 ,Senstivity: 0.23 ,roc-auc scores: 0.70 ,mcc scores: 0.31 ,cohen scores: 0.20 Threshold: 0.70 
Accuracy: 0.53 ,Specificity: 1.00 ,Senstivity: 0.07 ,roc-auc scores: 0.70 ,mcc scores: 0.19 ,cohen scores: 0.07 Threshold: 0.80 
Accuracy: 0.49 ,Specificity: 1.00 ,Senstivity: 0.00 ,roc-auc scores: 0.70 ,mcc scores: 0.00 ,cohen scores: 0.00 Threshold: 0.90 
