Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.03 ,Accuracy: 0.49 ,mcc scores: 0.09 ,roc-auc scores: 0.68 ,cohen scores: 0.02 
Threshold: 0.25 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.50 ,mcc scores: 0.11 ,roc-auc scores: 0.68 ,cohen scores: 0.04 
Threshold: 0.30 ,Senstivity: 0.96 ,Specificity: 0.13 ,Accuracy: 0.52 ,mcc scores: 0.16 ,roc-auc scores: 0.68 ,cohen scores: 0.09 
Threshold: 0.35 ,Senstivity: 0.85 ,Specificity: 0.26 ,Accuracy: 0.54 ,mcc scores: 0.13 ,roc-auc scores: 0.68 ,cohen scores: 0.11 
Threshold: 0.40 ,Senstivity: 0.75 ,Specificity: 0.42 ,Accuracy: 0.57 ,mcc scores: 0.17 ,roc-auc scores: 0.68 ,cohen scores: 0.16 
Threshold: 0.45 ,Senstivity: 0.62 ,Specificity: 0.62 ,Accuracy: 0.62 ,mcc scores: 0.23 ,roc-auc scores: 0.68 ,cohen scores: 0.23 
Threshold: 0.50 ,Senstivity: 0.50 ,Specificity: 0.75 ,Accuracy: 0.63 ,mcc scores: 0.26 ,roc-auc scores: 0.68 ,cohen scores: 0.25 
Threshold: 0.55 ,Senstivity: 0.40 ,Specificity: 0.87 ,Accuracy: 0.65 ,mcc scores: 0.31 ,roc-auc scores: 0.68 ,cohen scores: 0.28 
Threshold: 0.60 ,Senstivity: 0.32 ,Specificity: 0.93 ,Accuracy: 0.64 ,mcc scores: 0.32 ,roc-auc scores: 0.68 ,cohen scores: 0.26 
Threshold: 0.65 ,Senstivity: 0.24 ,Specificity: 0.99 ,Accuracy: 0.64 ,mcc scores: 0.37 ,roc-auc scores: 0.68 ,cohen scores: 0.25 
Threshold: 0.70 ,Senstivity: 0.18 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.32 ,roc-auc scores: 0.68 ,cohen scores: 0.19 
Threshold: 0.75 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.21 ,roc-auc scores: 0.68 ,cohen scores: 0.09 
Threshold: 0.80 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.16 ,roc-auc scores: 0.68 ,cohen scores: 0.05 
Threshold: 0.85 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.06 ,roc-auc scores: 0.68 ,cohen scores: 0.01 
Threshold: 0.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
