Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.65 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.74 ,Specificity: 0.45 ,Accuracy: 0.58 ,mcc scores: 0.20 ,roc-auc scores: 0.66 ,cohen scores: 0.19 
Threshold: 0.10 ,Senstivity: 0.70 ,Specificity: 0.45 ,Accuracy: 0.57 ,mcc scores: 0.16 ,roc-auc scores: 0.67 ,cohen scores: 0.15 
Threshold: 0.15 ,Senstivity: 0.78 ,Specificity: 0.52 ,Accuracy: 0.63 ,mcc scores: 0.30 ,roc-auc scores: 0.66 ,cohen scores: 0.28 
Threshold: 0.20 ,Senstivity: 0.74 ,Specificity: 0.61 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.67 ,cohen scores: 0.34 
Threshold: 0.25 ,Senstivity: 0.70 ,Specificity: 0.58 ,Accuracy: 0.63 ,mcc scores: 0.28 ,roc-auc scores: 0.67 ,cohen scores: 0.27 
Threshold: 0.30 ,Senstivity: 0.67 ,Specificity: 0.58 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.70 ,cohen scores: 0.24 
Threshold: 0.35 ,Senstivity: 0.67 ,Specificity: 0.61 ,Accuracy: 0.63 ,mcc scores: 0.27 ,roc-auc scores: 0.68 ,cohen scores: 0.27 
Threshold: 0.40 ,Senstivity: 0.70 ,Specificity: 0.58 ,Accuracy: 0.63 ,mcc scores: 0.28 ,roc-auc scores: 0.66 ,cohen scores: 0.27 
Threshold: 0.45 ,Senstivity: 0.67 ,Specificity: 0.64 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.65 ,cohen scores: 0.30 
Threshold: 0.50 ,Senstivity: 0.59 ,Specificity: 0.64 ,Accuracy: 0.62 ,mcc scores: 0.23 ,roc-auc scores: 0.65 ,cohen scores: 0.23 
Threshold: 0.55 ,Senstivity: 0.67 ,Specificity: 0.64 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.63 ,cohen scores: 0.30 
Threshold: 0.60 ,Senstivity: 0.63 ,Specificity: 0.67 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.66 ,cohen scores: 0.30 
Threshold: 0.65 ,Senstivity: 0.67 ,Specificity: 0.73 ,Accuracy: 0.70 ,mcc scores: 0.39 ,roc-auc scores: 0.67 ,cohen scores: 0.39 
Threshold: 0.70 ,Senstivity: 0.59 ,Specificity: 0.70 ,Accuracy: 0.65 ,mcc scores: 0.29 ,roc-auc scores: 0.69 ,cohen scores: 0.29 
Threshold: 0.75 ,Senstivity: 0.52 ,Specificity: 0.73 ,Accuracy: 0.63 ,mcc scores: 0.25 ,roc-auc scores: 0.68 ,cohen scores: 0.25 
Threshold: 0.80 ,Senstivity: 0.63 ,Specificity: 0.76 ,Accuracy: 0.70 ,mcc scores: 0.39 ,roc-auc scores: 0.67 ,cohen scores: 0.39 
Threshold: 0.85 ,Senstivity: 0.52 ,Specificity: 0.76 ,Accuracy: 0.65 ,mcc scores: 0.29 ,roc-auc scores: 0.64 ,cohen scores: 0.28 
Threshold: 0.90 ,Senstivity: 0.48 ,Specificity: 0.79 ,Accuracy: 0.65 ,mcc scores: 0.28 ,roc-auc scores: 0.67 ,cohen scores: 0.28 
Threshold: 0.95 ,Senstivity: 0.48 ,Specificity: 0.88 ,Accuracy: 0.70 ,mcc scores: 0.40 ,roc-auc scores: 0.69 ,cohen scores: 0.37 
