Accuracy: 0.51 ,Specificity: 0.00 ,Senstivity: 1.00 ,roc-auc scores: 0.76 ,mcc scores: 0.00 ,cohen scores: 0.00 Threshold: 0.00 
Accuracy: 0.51 ,Specificity: 0.00 ,Senstivity: 1.00 ,roc-auc scores: 0.76 ,mcc scores: 0.00 ,cohen scores: 0.00 Threshold: 0.10 
Accuracy: 0.51 ,Specificity: 0.01 ,Senstivity: 1.00 ,roc-auc scores: 0.76 ,mcc scores: 0.07 ,cohen scores: 0.01 Threshold: 0.20 
Accuracy: 0.57 ,Specificity: 0.14 ,Senstivity: 0.99 ,roc-auc scores: 0.76 ,mcc scores: 0.24 ,cohen scores: 0.13 Threshold: 0.30 
Accuracy: 0.63 ,Specificity: 0.35 ,Senstivity: 0.90 ,roc-auc scores: 0.76 ,mcc scores: 0.30 ,cohen scores: 0.25 Threshold: 0.40 
Accuracy: 0.69 ,Specificity: 0.74 ,Senstivity: 0.65 ,roc-auc scores: 0.76 ,mcc scores: 0.39 ,cohen scores: 0.39 Threshold: 0.50 
Accuracy: 0.63 ,Specificity: 0.96 ,Senstivity: 0.32 ,roc-auc scores: 0.76 ,mcc scores: 0.36 ,cohen scores: 0.28 Threshold: 0.60 
Accuracy: 0.59 ,Specificity: 0.99 ,Senstivity: 0.20 ,roc-auc scores: 0.76 ,mcc scores: 0.32 ,cohen scores: 0.19 Threshold: 0.70 
Accuracy: 0.56 ,Specificity: 1.00 ,Senstivity: 0.13 ,roc-auc scores: 0.76 ,mcc scores: 0.26 ,cohen scores: 0.13 Threshold: 0.80 
Accuracy: 0.52 ,Specificity: 1.00 ,Senstivity: 0.06 ,roc-auc scores: 0.76 ,mcc scores: 0.17 ,cohen scores: 0.06 Threshold: 0.90 
