Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.07 ,roc-auc scores: 0.76 ,cohen scores: 0.01 
Threshold: 0.25 ,Senstivity: 0.99 ,Specificity: 0.05 ,Accuracy: 0.53 ,mcc scores: 0.13 ,roc-auc scores: 0.76 ,cohen scores: 0.04 
Threshold: 0.30 ,Senstivity: 0.99 ,Specificity: 0.14 ,Accuracy: 0.57 ,mcc scores: 0.24 ,roc-auc scores: 0.76 ,cohen scores: 0.13 
Threshold: 0.35 ,Senstivity: 0.95 ,Specificity: 0.23 ,Accuracy: 0.60 ,mcc scores: 0.27 ,roc-auc scores: 0.76 ,cohen scores: 0.19 
Threshold: 0.40 ,Senstivity: 0.90 ,Specificity: 0.35 ,Accuracy: 0.63 ,mcc scores: 0.30 ,roc-auc scores: 0.76 ,cohen scores: 0.25 
Threshold: 0.45 ,Senstivity: 0.82 ,Specificity: 0.51 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.76 ,cohen scores: 0.33 
Threshold: 0.50 ,Senstivity: 0.65 ,Specificity: 0.74 ,Accuracy: 0.69 ,mcc scores: 0.39 ,roc-auc scores: 0.76 ,cohen scores: 0.39 
Threshold: 0.55 ,Senstivity: 0.50 ,Specificity: 0.86 ,Accuracy: 0.68 ,mcc scores: 0.39 ,roc-auc scores: 0.76 ,cohen scores: 0.36 
Threshold: 0.60 ,Senstivity: 0.32 ,Specificity: 0.96 ,Accuracy: 0.63 ,mcc scores: 0.36 ,roc-auc scores: 0.76 ,cohen scores: 0.28 
Threshold: 0.65 ,Senstivity: 0.27 ,Specificity: 0.99 ,Accuracy: 0.63 ,mcc scores: 0.38 ,roc-auc scores: 0.76 ,cohen scores: 0.26 
Threshold: 0.70 ,Senstivity: 0.20 ,Specificity: 0.99 ,Accuracy: 0.59 ,mcc scores: 0.32 ,roc-auc scores: 0.76 ,cohen scores: 0.19 
Threshold: 0.75 ,Senstivity: 0.16 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.29 ,roc-auc scores: 0.76 ,cohen scores: 0.16 
Threshold: 0.80 ,Senstivity: 0.13 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.26 ,roc-auc scores: 0.76 ,cohen scores: 0.13 
Threshold: 0.85 ,Senstivity: 0.11 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.24 ,roc-auc scores: 0.76 ,cohen scores: 0.11 
Threshold: 0.90 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.17 ,roc-auc scores: 0.76 ,cohen scores: 0.06 
Threshold: 0.95 ,Senstivity: 0.04 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.14 ,roc-auc scores: 0.76 ,cohen scores: 0.04 
