Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 0.99 ,Specificity: 0.05 ,Accuracy: 0.50 ,mcc scores: 0.09 ,roc-auc scores: 0.93 ,cohen scores: 0.03 
Threshold: 0.20 ,Senstivity: 0.98 ,Specificity: 0.14 ,Accuracy: 0.55 ,mcc scores: 0.22 ,roc-auc scores: 0.93 ,cohen scores: 0.12 
Threshold: 0.25 ,Senstivity: 0.98 ,Specificity: 0.35 ,Accuracy: 0.65 ,mcc scores: 0.42 ,roc-auc scores: 0.93 ,cohen scores: 0.32 
Threshold: 0.30 ,Senstivity: 0.95 ,Specificity: 0.57 ,Accuracy: 0.75 ,mcc scores: 0.56 ,roc-auc scores: 0.93 ,cohen scores: 0.51 
Threshold: 0.35 ,Senstivity: 0.91 ,Specificity: 0.72 ,Accuracy: 0.81 ,mcc scores: 0.64 ,roc-auc scores: 0.93 ,cohen scores: 0.62 
Threshold: 0.40 ,Senstivity: 0.87 ,Specificity: 0.81 ,Accuracy: 0.84 ,mcc scores: 0.68 ,roc-auc scores: 0.93 ,cohen scores: 0.68 
Threshold: 0.45 ,Senstivity: 0.85 ,Specificity: 0.91 ,Accuracy: 0.88 ,mcc scores: 0.76 ,roc-auc scores: 0.93 ,cohen scores: 0.76 
Threshold: 0.50 ,Senstivity: 0.82 ,Specificity: 0.95 ,Accuracy: 0.89 ,mcc scores: 0.78 ,roc-auc scores: 0.93 ,cohen scores: 0.78 
Threshold: 0.55 ,Senstivity: 0.75 ,Specificity: 1.00 ,Accuracy: 0.88 ,mcc scores: 0.78 ,roc-auc scores: 0.93 ,cohen scores: 0.75 
Threshold: 0.60 ,Senstivity: 0.69 ,Specificity: 1.00 ,Accuracy: 0.85 ,mcc scores: 0.73 ,roc-auc scores: 0.93 ,cohen scores: 0.69 
Threshold: 0.65 ,Senstivity: 0.64 ,Specificity: 1.00 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.93 ,cohen scores: 0.65 
Threshold: 0.70 ,Senstivity: 0.57 ,Specificity: 1.00 ,Accuracy: 0.79 ,mcc scores: 0.63 ,roc-auc scores: 0.93 ,cohen scores: 0.57 
Threshold: 0.75 ,Senstivity: 0.51 ,Specificity: 1.00 ,Accuracy: 0.76 ,mcc scores: 0.59 ,roc-auc scores: 0.93 ,cohen scores: 0.52 
Threshold: 0.80 ,Senstivity: 0.41 ,Specificity: 1.00 ,Accuracy: 0.71 ,mcc scores: 0.51 ,roc-auc scores: 0.93 ,cohen scores: 0.41 
Threshold: 0.85 ,Senstivity: 0.30 ,Specificity: 1.00 ,Accuracy: 0.66 ,mcc scores: 0.43 ,roc-auc scores: 0.93 ,cohen scores: 0.31 
Threshold: 0.90 ,Senstivity: 0.17 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.31 ,roc-auc scores: 0.93 ,cohen scores: 0.18 
Threshold: 0.95 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.16 ,roc-auc scores: 0.93 ,cohen scores: 0.05 
